Project Names,Status,Mean Time Between Comments(hours),Median Time Between Comments(hours),90th Percentile Time Between Comments(hours)
Joshua,graduated,161.58,1.06,93.94
JSPWiki,graduated,145.54,17.16,283.81
jUDDI,graduated,657.27,192.3,383.55
Juneau,graduated,391.31,5.44,662.6
Kafka,graduated,1.16,0.13,1.25
Knox,graduated,79.08,4.43,166.89
Kudu,graduated,1453.09,106.37,4712.21
Kylin,graduated,17.7,0.92,26.14
Lens,graduated,5458.88,68.93,15166.29
Lenya,graduated,3123.88,773.8,7055.04
Libcloud,graduated,20.53,1.63,48.06
logging-log4cxx,graduated,91.34,6.85,158.91
logging-log4php,graduated,2198.07,2.03,7087.55
Lucene.NET,graduated,45.68,2.65,81.6
Lucy,graduated,562.9,146.14,1979.33
MADlib,graduated,33.35,1.61,67.08
ManifoldCF,graduated,930.21,1.63,1739.05
Marmotta,graduated,2095.8,102.16,5554.84
Mesos,graduated,123.84,7.92,344.96
MetaModel,graduated,60.34,3.48,120.58
Metron,graduated,5.22,0.47,11.05
Mnemonic,graduated,697.21,160.6,2167.43
MyFaces,graduated,49.94,1.43,109.93
myfaces-tobago,graduated,62.73,0.02,143.22
mynewt-core,graduated,22.31,3.38,56.93
NetBeans,graduated,2.75,0.72,7.66
NiFi,graduated,4.01,0.86,10.52
NPanday,retired,951.25,1318.57,1474.06
Nutch,graduated,82.2,6.19,143.54
odftoolkit,retired,266.28,266.28,425.44
OFBiz,graduated,7241.88,6139.43,14718.94
olingo-odata4,graduated,413.6,24.01,719.17
OODT,graduated,316.45,6.4,742.17
Oozie,graduated,1410.56,378.89,3741.36
OpenEJB,graduated,500.35,12.99,1218.14
OpenJPA,graduated,249.59,1.28,737.36
Openmeetings,graduated,164.6,2.09,298.4
OpenNLP,graduated,70.51,3.05,125.43
openoffice,graduated,126.35,7.62,313.33
OpenWebBeans,graduated,635.56,0.88,1685.73
OpenWhisk,graduated,4.23,0.48,7.69
openwhisk-composer,retired,884.07,43.43,2344.67
parquet-java,graduated,12.31,2.1,32.02
PDFBox,graduated,128.18,4.39,225.22
Phoenix,graduated,18.42,2.37,48.88
Pig,graduated,2888.72,381.96,6696.35
PLC4X,graduated,25.8,0.77,50.63
Pluto,graduated,2603.24,1635.25,5754.4
PredictionIO,graduated,64.44,5.78,135.22
Pulsar,graduated,1.3,0.29,2.81
Qpid,graduated,1031.6,14.14,4260.29
Ranger,graduated,127.83,7.01,238.26
Rave,graduated,98.77,0.57,136.29
REEF,graduated,5.51,0.35,8.06
RocketMQ,graduated,3.71,0.53,11.39
Roller,graduated,514.27,18.71,936.84
Samza,graduated,41.82,4.1,89.54
Sentry,graduated,8673.53,8673.53,8673.53
servicecomb-java-chassis,graduated,8.3,0.88,22.66
ServiceMix,graduated,1081.48,366.55,3560.53
Shindig,graduated,5582.21,5582.21,10047.95
Shiro,graduated,50.22,1.56,92.0
Sirona,retired,16999.41,2046.26,47274.65
SIS,graduated,716.7,5.58,2486.0
