Repository Name,Status,Number of PRs,Average First Response Time (hours),Median First Response Time (hours)
mesos,graduated,287,1355.20,24.49
metamodel,graduated,222,58.60,15.91
metron,graduated,1515,115.64,16.74
mnemonic,graduated,53,402.61,18.49
myfaces,graduated,287,87.49,1.54
myfaces-tobago,graduated,906,148.78,63.93
mynewt-core,graduated,1333,113.54,3.64
netbeans,graduated,4070,231.58,14.70
nifi,graduated,6935,330.70,17.75
npanday,retired,4,2881.99,2123.27
nutch,graduated,393,654.02,20.09
ode,graduated,1,22.44,22.44
odftoolkit,retired,1,47.59,47.59
ofbiz,graduated,4,0.56,1.01
olingo-odata4,graduated,97,4910.88,653.13
oodt,graduated,84,423.97,31.40
oozie,graduated,41,3974.72,152.45
openejb,graduated,21,2759.82,1828.43
openjpa,graduated,72,2187.69,6.63
openmeetings,graduated,69,195.98,3.12
opennlp,graduated,411,523.87,0.93
openoffice,graduated,174,1013.18,54.90
openwebbeans,graduated,75,710.85,50.01
openwhisk,graduated,2869,86.90,2.33
openwhisk-composer,retired,10,884.13,1.03
parquet-java,graduated,1036,510.63,30.32
pdfbox,graduated,131,668.87,9.40
phoenix,graduated,1471,3043.43,4.92
photark,retired,1,5477.84,5477.84
pig,graduated,22,1814.72,19.10
plc4x,graduated,454,262.89,21.12
pluto,graduated,7,4202.68,3718.20
predictionio,graduated,329,221.93,18.30
pulsar,graduated,4887,74.99,5.49
qpid,graduated,9,2685.22,17.81
ranger,graduated,278,4424.32,221.31
rave,graduated,21,89.76,22.51
reef,graduated,1432,44.58,0.85
rocketmq,graduated,3477,156.53,0.48
roller,graduated,76,939.04,71.02
samza,graduated,915,302.87,1.22
sentry,graduated,2,577.44,1012.77
servicecomb-java-chassis,graduated,2402,63.06,0.53
servicemix,graduated,21,152.57,21.81
shindig,graduated,2,2821.03,5639.57
shiro,graduated,646,837.04,2.79
sirona,retired,6,4178.68,4170.40
sis,graduated,21,1039.14,111.96
skywalking,graduated,3469,8.90,0.42
sling,graduated,157,4266.74,355.65
solr,graduated,1900,594.46,14.60
spamassassin,graduated,2,971.27,1936.97
spark,graduated,2004,1.64,0.05
sqoop,graduated,58,5406.48,275.07
stanbol,graduated,8,7537.95,1895.26
storm,graduated,2279,149.31,13.18
stratos,graduated,207,184.92,16.08
streams,graduated,383,544.29,28.16
subversion,graduated,14,1866.97,3.15
synapse,graduated,27,1455.20,79.24
syncope,graduated,496,59.80,8.06
systemml,graduated,1694,139.25,3.48
tajo,graduated,977,113.10,21.94
tapestry-5,graduated,31,21673.68,1303.96
tashi,retired,1,368.83,368.83
tez,graduated,356,1749.00,1.17
thrift,graduated,1786,743.01,22.35
tika,graduated,434,958.57,9.71
tinkerpop,graduated,2552,117.10,10.05
trafficcontrol,graduated,3285,138.03,0.25
trafficserver,graduated,5275,188.10,3.23
trafodion,graduated,1853,0.25,0.05
tuscany-sca-2.x,graduated,22,3591.16,3116.56
twill,graduated,61,75.17,3.08
uima-uimaj,graduated,50,577.18,13.85
unomi,graduated,229,1697.31,172.27
usergrid,graduated,243,243.33,14.80
vcl,graduated,2,19576.75,38488.65
vxquery,graduated,94,179.15,26.73
whirr,graduated,3,5.11,7.17
wicket,graduated,567,427.80,22.03
wink,graduated,4,929.81,602.12
wookie,graduated,5,5422.13,5141.36
xmlbeans,graduated,16,1900.31,7.74
zeppelin,graduated,4232,168.63,10.08
zetacomponents,retired,3,825.91,99.71
zipkin,retired,1671,121.38,0.76
