Project Name,List Id,Project State,Total PRs (normalized),Merged PRs (normalized),Closed PRs (normalized),Unresolved PRs (normalized),Total Active Devs
Mesos,159,1,1.99,0.52,1.42,0.04,293
MetaModel,160,1,5.17,1.6,3.5,0.06,48
Metron,161,1,15.21,0.09,14.89,0.23,104
Mnemonic,162,1,13.93,12.07,1.78,0.07,27
MRUnit,164,1,1.0,0.0,0.0,1.0,1
MyFaces,166,1,17.02,15.55,1.37,0.1,49
myfaces-tobago,233,1,335.67,292.11,43.39,0.17,18
mynewt-core,167,1,13.85,12.4,1.33,0.12,227
NetBeans,168,1,5.01,4.2,0.71,0.1,1176
NiFi,169,1,9.61,1.2,8.4,0.01,1008
NPanday,287,2,16.0,0.0,5.0,11.0,1
Nutch,170,1,6.89,4.4,2.37,0.12,121
Nuvem,171,1,0,0,0,0,0
Ode,172,1,1.14,0.29,0.57,0.29,7
odftoolkit,288,2,0.75,0.0,0.0,0.75,4
OFBiz,173,1,1.08,0.0,0.6,0.48,25
olingo-odata4,175,1,2.28,0.66,1.31,0.31,67
OODT,177,1,5.1,2.3,1.83,0.97,30
Oozie,178,1,1.39,0.01,0.67,0.71,69
OpenEJB,180,1,0,0,0,0,0
OpenJPA,181,1,2.8,1.38,1.0,0.42,40
Openmeetings,182,1,2.38,1.86,0.46,0.05,56
OpenNLP,183,1,9.68,6.83,2.81,0.04,77
openoffice,184,1,7.41,5.13,1.92,0.36,39
OpenWebBeans,185,1,4.7,2.26,2.26,0.19,27
OpenWhisk,186,1,5.46,3.6,1.82,0.04,626
openwhisk-composer,262,2,2.74,2.7,0.0,0.04,23
parquet-java,187,1,3.0,1.55,1.16,0.29,499
PDFBox,188,1,1.42,0.0,1.2,0.21,137
Phoenix,189,1,7.59,2.42,4.74,0.44,269
PhotArk,291,2,0,0,0,0,0
Pig,190,1,0.98,0.0,0.73,0.24,41
PLC4X,192,1,8.94,7.71,1.17,0.05,189
Pluto,193,1,0,0,0,0,0
PredictionIO,194,1,2.15,0.97,1.09,0.09,197
Pulsar,195,1,10.96,9.2,1.52,0.25,1469
Qpid,196,1,0.71,0.0,0.64,0.07,14
Ranger,197,1,2.1,0.58,1.06,0.46,250
Rave,199,1,3.83,3.0,0.83,0.0,6
REEF,200,1,20.32,0.51,19.7,0.11,74
RocketMQ,202,1,2.11,1.23,0.81,0.07,2031
Roller,203,1,5.26,4.04,1.04,0.19,27
Samza,204,1,11.77,4.34,7.13,0.29,145
Sanselan,205,1,1.5,0.0,0.5,1.0,2
Sentry,206,1,2.2,0.0,0.4,1.8,5
servicecomb-java-chassis,207,1,6.3,5.15,1.15,0.0,517
ServiceMix,208,1,2.8,0.55,2.2,0.05,20
Shindig,209,1,1.4,0.0,0.2,1.2,5
Shiro,210,1,9.51,7.35,2.15,0.02,197
Sirona,298,2,4.25,0.0,1.5,2.75,4
SIS,211,1,3.8,2.0,1.8,0.0,10
SkyWalking,212,1,2.75,2.42,0.33,0.0,1944
Sling,213,1,2.79,0.0,2.79,0.0,94
Solr,214,1,10.0,7.55,1.77,0.68,317
SpamAssassin,215,1,0.5,0.0,0.5,0.0,4
Spark,216,1,12.47,0.0,12.42,0.05,3995
Sqoop,217,1,1.28,0.22,0.75,0.31,67
Stanbol,218,1,2.69,0.0,0.62,2.08,13
Storm,220,1,6.47,4.89,1.58,0.0,595
Stratos,221,1,12.37,4.88,7.27,0.22,41
Streams,222,1,22.79,17.38,5.21,0.21,24
Subversion,223,1,0.82,0.0,0.77,0.05,22
Synapse,224,1,4.94,3.12,1.0,0.82,17
Syncope,225,1,18.47,11.04,7.34,0.09,53
SystemML,226,1,10.34,1.06,9.05,0.24,215
Tajo,227,1,28.57,0.43,27.22,0.92,37
tapestry-5,228,1,1.39,0.58,0.79,0.03,33
Tashi,302,2,0.67,0.0,0.0,0.67,3
Tez,229,1,3.39,1.96,0.92,0.51,114
Thrift,230,1,2.96,0.84,2.07,0.05,1042
Tika,231,1,7.45,6.22,1.04,0.19,284
TinkerPop,232,1,9.23,5.76,3.36,0.12,327
trafficcontrol,234,1,24.25,18.67,5.1,0.48,231
trafficserver,235,1,19.69,16.21,3.44,0.04,491
