Model,Precision (Graduated),Precision (Retired),Recall (Graduated),Recall (Retired),F1-Score (Graduated),F1-Score (Retired)
LSTM,0.98,0.13,0.85,0.49,0.91,0.2
GRU,0.97,0.14,0.91,0.36,0.94,0.2
BI-GRU,0.97,0.17,0.92,0.4,0.95,0.6
BI-LSTM,0.95,0.14,0.9,0.39,0.94,0.21
